iter	Passed	Remaining
0	6	12500
1	15	14665
2	25	15806
3	34	15810
4	44	16401
5	49	15424
6	60	15998
7	68	15955
8	84	17475
9	93	17333
10	103	17451
11	114	17660
12	126	17946
13	140	18567
14	154	18997
15	172	19834
16	186	20264
17	197	20244
18	213	20659
19	220	20261
20	233	20425
21	245	20496
22	256	20512
23	263	20137
24	275	20220
25	289	20405
26	302	20534
27	312	20441
28	327	20657
29	347	21210
30	362	21426
31	377	21564
32	386	21391
33	414	22263
34	432	22573
35	464	23557
36	490	24179
37	507	24363
38	524	24492
39	535	24390
40	548	24360
41	564	24441
42	581	24567
43	594	24534
44	606	24482
45	616	24317
46	629	24291
47	640	24194
48	653	24166
49	661	23972
50	673	23919
51	683	23762
52	695	23714
53	702	23517
54	714	23462
55	726	23415
56	743	23531
57	761	23669
58	774	23658
59	783	23522
60	795	23483
61	808	23459
62	820	23423
63	829	23292
64	842	23281
65	853	23205
66	865	23180
67	873	23032
68	891	23156
69	904	23134
70	919	23171
71	929	23104
72	940	23030
73	949	22941
74	963	22935
75	971	22824
76	983	22795
77	992	22693
78	1004	22664
79	1018	22671
80	1032	22686
81	1041	22594
82	1054	22586
83	1063	22507
84	1076	22487
85	1085	22394
86	1096	22360
87	1105	22280
88	1116	22223
89	1124	22136
90	1141	22209
91	1152	22162
92	1165	22149
93	1175	22102
94	1186	22062
95	1197	22019
96	1208	21974
97	1218	21921
98	1229	21883
99	1241	21870
100	1253	21835
101	1267	21852
102	1278	21820
103	1289	21788
104	1298	21716
105	1308	21672
106	1316	21580
107	1328	21557
108	1347	21663
109	1364	21718
110	1380	21765
111	1400	21862
112	1410	21824
113	1423	21819
114	1435	21799
115	1452	21845
116	1460	21771
117	1470	21726
118	1474	21583
119	1486	21572
120	1495	21506
121	1508	21508
122	1517	21447
123	1528	21413
124	1537	21355
125	1551	21357
126	1561	21321
127	1573	21300
128	1582	21242
129	1592	21202
130	1601	21147
131	1610	21093
132	1619	21039
133	1631	21022
134	1638	20946
135	1648	20907
136	1656	20839
137	1665	20800
138	1676	20772
139	1687	20749
140	1696	20692
141	1705	20649
142	1712	20578
143	1722	20538
144	1731	20487
145	1740	20439
146	1750	20414
147	1763	20414
148	1774	20386
149	1783	20341
150	1792	20301
151	1800	20239
152	1810	20213
153	1819	20167
154	1830	20145
155	1839	20101
156	1850	20080
157	1856	20008
158	1866	19976
159	1875	19933
160	1887	19933
161	1895	19881
162	1904	19839
163	1912	19793
164	1925	19789
165	1933	19744
166	1945	19733
167	1952	19677
168	1963	19654
169	1970	19603
170	1982	19594
171	1990	19543
172	2001	19528
173	2010	19495
174	2019	19460
175	2029	19427
176	2039	19402
177	2046	19353
178	2057	19336
179	2064	19280
180	2075	19263
181	2083	19223
182	2091	19175
183	2097	19117
184	2108	19097
185	2117	19067
186	2129	19063
187	2137	19023
188	2146	18985
189	2154	18945
190	2162	18910
191	2173	18894
192	2181	18850
193	2191	18833
194	2201	18812
195	2212	18791
196	2220	18753
197	2228	18717
198	2237	18685
199	2247	18669
200	2256	18635
201	2266	18614
202	2273	18569
203	2282	18538
204	2290	18500
205	2309	18557
206	2324	18570
207	2338	18587
208	2350	18577
209	2360	18554
210	2376	18580
211	2383	18541
212	2396	18544
213	2412	18566
214	2421	18541
215	2432	18528
216	2441	18493
217	2449	18461
218	2462	18462
219	2472	18440
220	2482	18425
221	2492	18403
222	2507	18416
223	2516	18390
224	2526	18372
225	2535	18343
226	2546	18331
227	2553	18291
228	2565	18281
229	2572	18242
230	2581	18213
231	2589	18180
232	2600	18172
233	2610	18153
234	2626	18170
235	2633	18134
236	2643	18111
237	2650	18071
238	2661	18060
239	2668	18024
240	2677	17995
241	2684	17959
242	2695	17946
243	2702	17910
244	2714	17905
245	2724	17883
246	2730	17843
247	2742	17836
248	2750	17808
249	2759	17783
250	2768	17759
251	2775	17718
252	2783	17691
253	2792	17669
254	2802	17647
255	2810	17621
256	2820	17605
257	2830	17589
258	2841	17577
259	2849	17543
260	2860	17532
261	2867	17501
262	2876	17474
263	2882	17435
264	2890	17409
265	2897	17373
266	2907	17356
267	2914	17321
268	2923	17299
269	2930	17265
270	2942	17263
271	2952	17248
272	2961	17227
273	2968	17194
274	2977	17172
275	2988	17159
276	2997	17141
277	3005	17112
278	3014	17095
279	3021	17062
280	3030	17038
281	3039	17017
282	3049	17006
283	3056	16972
284	3065	16952
285	3073	16923
286	3083	16910
287	3090	16878
288	3099	16860
289	3108	16839
290	3119	16830
291	3125	16795
292	3138	16795
293	3146	16769
294	3154	16743
295	3161	16717
296	3170	16695
297	3178	16669
298	3186	16646
299	3193	16619
300	3202	16596
301	3210	16573
302	3219	16555
303	3231	16548
304	3241	16538
305	3248	16509
306	3258	16491
307	3265	16466
308	3276	16457
309	3287	16450
310	3300	16449
311	3311	16438
312	3314	16392
313	3326	16388
314	3335	16372
315	3350	16381
316	3363	16382
317	3372	16365
318	3379	16337
319	3389	16321
320	3397	16298
321	3407	16284
322	3414	16256
323	3422	16237
324	3430	16214
325	3442	16207
326	3450	16186
327	3458	16162
328	3464	16132
329	3475	16121
330	3483	16101
331	3493	16086
332	3500	16063
333	3509	16045
334	3515	16015
335	3525	16001
336	3532	15973
337	3542	15964
338	3549	15934
339	3558	15917
340	3564	15890
341	3573	15873
342	3580	15844
343	3589	15828
344	3596	15803
345	3609	15803
346	3616	15781
347	3625	15762
348	3630	15730
349	3640	15715
350	3646	15685
351	3656	15677
352	3663	15649
353	3672	15634
354	3679	15607
355	3688	15594
356	3695	15570
357	3704	15554
358	3711	15529
359	3721	15516
360	3732	15509
361	3740	15488
362	3749	15472
363	3759	15461
364	3767	15443
365	3774	15419
366	3783	15402
367	3791	15381
368	3799	15363
369	3808	15347
370	3817	15331
371	3826	15317
372	3834	15295
373	3844	15284
374	3856	15283
375	3862	15256
376	3869	15233
377	3878	15217
378	3886	15198
379	3896	15187
380	3902	15161
381	3912	15148
382	3919	15124
383	3929	15112
384	3936	15091
385	3945	15077
386	3954	15059
387	3967	15062
388	3979	15060
389	3987	15040
390	3996	15024
391	4004	15005
392	4012	14986
393	4021	14972
394	4029	14953
395	4038	14939
396	4046	14921
397	4052	14897
398	4064	14893
399	4071	14869
400	4079	14853
401	4085	14827
402	4095	14817
403	4105	14807
404	4114	14793
405	4124	14781
406	4133	14766
407	4141	14747
408	4148	14729
409	4156	14711
410	4166	14700
411	4175	14684
412	4184	14669
413	4192	14651
414	4201	14640
415	4208	14620
416	4217	14606
417	4227	14595
418	4235	14578
419	4242	14554
420	4259	14567
421	4274	14577
422	4288	14579
423	4299	14570
424	4310	14564
425	4321	14557
426	4333	14554
427	4341	14534
428	4352	14527
429	4358	14504
430	4368	14494
431	4376	14477
432	4386	14466
433	4393	14445
434	4402	14433
435	4410	14416
436	4420	14405
437	4426	14382
438	4434	14363
439	4440	14340
440	4448	14324
441	4454	14301
442	4468	14302
443	4477	14289
444	4486	14274
445	4491	14251
446	4501	14239
447	4507	14216
448	4518	14208
449	4529	14202
450	4536	14183
451	4540	14152
452	4549	14141
453	4556	14120
454	4566	14110
455	4572	14089
456	4583	14081
457	4593	14071
458	4601	14055
459	4609	14037
460	4616	14020
461	4622	13997
462	4631	13983
463	4639	13967
464	4648	13956
465	4656	13938
466	4666	13928
467	4673	13911
468	4682	13897
469	4688	13875
470	4698	13867
471	4708	13854
472	4717	13843
473	4725	13826
474	4733	13811
475	4741	13795
476	4750	13782
477	4757	13766
478	4764	13746
479	4773	13734
480	4780	13715
481	4788	13700
482	4799	13693
483	4807	13678
484	4816	13665
485	4823	13646
486	4833	13636
487	4843	13627
488	4851	13611
489	4859	13595
490	4867	13580
491	4876	13567
492	4884	13553
493	4894	13542
494	4903	13531
495	4909	13511
496	4918	13497
497	4924	13479
498	4933	13464
499	4941	13449
500	4949	13434
501	4957	13420
502	4967	13411
503	4977	13401
504	4990	13400
505	5000	13390
506	5009	13378
507	5016	13360
508	5025	13347
509	5032	13330
510	5040	13317
511	5047	13300
512	5057	13288
513	5063	13268
514	5071	13255
515	5077	13235
516	5089	13231
517	5098	13219
518	5108	13209
519	5115	13193
520	5123	13178
521	5130	13159
522	5138	13145
523	5144	13125
524	5152	13111
525	5158	13091
526	5168	13082
527	5173	13061
528	5183	13051
529	5189	13033
530	5199	13024
531	5208	13010
532	5220	13007
533	5226	12988
534	5240	12987
535	5251	12982
536	5268	12989
537	5277	12979
538	5289	12972
539	5300	12966
540	5310	12956
541	5323	12954
542	5335	12949
543	5345	12941
544	5352	12924
545	5363	12916
546	5369	12897
547	5377	12885
548	5385	12870
549	5395	12861
550	5403	12846
551	5415	12841
552	5421	12823
553	5430	12811
554	5437	12795
555	5445	12781
556	5455	12771
557	5464	12760
558	5471	12744
559	5479	12730
560	5485	12711
561	5494	12700
562	5501	12683
563	5510	12673
564	5518	12658
565	5528	12649
566	5537	12637
567	5543	12620
568	5552	12607
569	5559	12592
570	5568	12579
571	5577	12568
572	5587	12560
573	5594	12543
574	5603	12533
575	5610	12516
576	5621	12509
577	5629	12496
578	5640	12488
579	5647	12472
580	5655	12460
581	5661	12442
582	5672	12434
583	5678	12417
584	5688	12407
585	5694	12389
586	5702	12377
587	5710	12362
588	5719	12352
589	5728	12339
590	5738	12332
591	5745	12315
592	5754	12305
593	5761	12288
594	5770	12277
595	5776	12259
596	5786	12251
597	5793	12236
598	5801	12223
599	5808	12207
600	5818	12197
601	5826	12184
602	5839	12182
603	5846	12167
604	5854	12154
605	5862	12140
606	5871	12129
607	5878	12114
608	5887	12102
609	5894	12088
610	5902	12075
611	5911	12065
612	5919	12051
613	5928	12039
614	5937	12028
615	5946	12018
616	5955	12007
617	5965	11998
618	5972	11983
619	5981	11973
620	5988	11957
621	5998	11949
622	6005	11934
623	6016	11927
624	6022	11910
625	6033	11903
626	6040	11888
627	6048	11876
628	6055	11861
629	6063	11848
630	6072	11836
631	6083	11829
632	6089	11814
633	6098	11802
634	6104	11786
635	6113	11776
636	6119	11759
637	6128	11747
638	6135	11733
639	6145	11724
640	6151	11708
641	6160	11697
642	6166	11680
643	6176	11671
644	6183	11656
645	6192	11647
646	6202	11638
647	6211	11627
648	6226	11627
649	6235	11617
650	6244	11607
651	6254	11597
652	6263	11586
653	6273	11577
654	6280	11563
655	6288	11551
656	6295	11537
657	6303	11524
658	6309	11509
659	6321	11503
660	6330	11492
661	6339	11481
662	6345	11466
663	6357	11461
664	6367	11452
665	6378	11445
666	6387	11434
667	6397	11424
668	6405	11412
669	6412	11398
670	6420	11386
671	6428	11374
672	6436	11362
673	6446	11352
674	6456	11344
675	6465	11334
676	6474	11323
677	6483	11313
678	6490	11298
679	6500	11289
680	6507	11275
681	6518	11269
682	6526	11256
683	6537	11248
684	6547	11240
685	6555	11228
686	6566	11221
687	6579	11218
688	6589	11208
689	6600	11201
690	6610	11193
691	6618	11180
692	6629	11173
693	6637	11161
694	6648	11154
695	6655	11139
696	6667	11134
697	6675	11122
698	6685	11113
699	6700	11113
